id,title,year,runtime_minutes,genres,rating,vote_count,overview
m001,Star Wars: A New Hope,1977,121,Action|Adventure|Sci-Fi,8.6,1400000,"A farm boy joins a rebel alliance to rescue a princess and destroy a planet-killing weapon."
m002,The Matrix,1999,136,Action|Sci-Fi,8.7,2000000,"A hacker discovers reality is a simulation and joins a fight against the machines that built it."
m003,Terminator 2: Judgment Day,1991,137,Action|Sci-Fi,8.6,1200000,"A reprogrammed assassin protects a boy from a more advanced shape-shifting killer sent from the future."
m004,Inception,2010,148,Action|Sci-Fi|Thriller,8.8,2400000,"A thief who steals secrets via shared dreaming is hired to plant an idea instead."
m005,Mad Max: Fury Road,2015,120,Action|Adventure|Sci-Fi,8.1,1100000,"A drifter and a runaway warrior flee a tyrant across a post-apocalyptic desert."
m006,The Dark Knight,2008,152,Action|Crime|Drama,9.0,2900000,"Batman, Gordon, and Harvey Dent confront an anarchist criminal known as the Joker."
m007,Aliens,1986,137,Action|Adventure|Sci-Fi,8.4,770000,"A survivor returns to a colonized moon with marines to face the xenomorph hive."
m008,Forrest Gump,1994,142,Drama|Romance,8.8,2300000,"A simple man with a big heart witnesses and shapes decades of American history."
m009,The Shawshank Redemption,1994,142,Drama,9.3,2900000,"A banker imprisoned for a murder he didn't commit forges a friendship and plans an escape."
m010,Schindler's List,1993,195,Biography|Drama|History,9.0,1500000,"An industrialist saves over a thousand Polish Jews by employing them in his factory."
m011,12 Angry Men,1957,96,Crime|Drama,9.0,910000,"A juror works to persuade his peers that the evidence in a murder trial is not as it seems."
m012,Casablanca,1942,102,Drama|Romance|War,8.5,610000,"A nightclub owner in wartime Morocco must choose between love and helping his old flame's husband escape."
m013,Se7en,1995,127,Crime|Drama|Mystery,8.6,1800000,"Two detectives hunt a killer who uses the seven deadly sins as motifs."
m014,The Silence of the Lambs,1991,118,Crime|Drama|Thriller,8.6,1500000,"An FBI trainee consults a captive cannibal to catch a serial killer skinning his victims."
m015,Heat,1995,170,Crime|Drama|Thriller,8.3,710000,"A detective and a master thief circle each other as a crew plans one last heist."
m016,Memento,2000,113,Mystery|Thriller,8.4,1300000,"A man with no short-term memory hunts the killer of his wife using notes and tattoos."
m017,Prisoners,2013,153,Crime|Drama|Mystery,8.1,800000,"After his daughter is abducted, a father takes the investigation into his own hands."
m018,Gone Girl,2014,149,Drama|Mystery|Thriller,8.1,1100000,"A man becomes the prime suspect in his wife's disappearance on their fifth anniversary."
m019,Zodiac,2007,157,Crime|Drama|Mystery,7.7,540000,"A cartoonist becomes obsessed with the unsolved Zodiac killings in 1970s San Francisco."
m020,Groundhog Day,1993,101,Comedy|Fantasy|Romance,8.1,680000,"A cynical weatherman is trapped reliving the same day until he learns to love it."
m021,The Big Lebowski,1998,117,Comedy|Crime,8.1,860000,"A laid-back slacker is dragged into a kidnapping plot after a case of mistaken identity."
m022,Some Like It Hot,1959,121,Comedy|Music|Romance,8.2,290000,"Two musicians witness a mob hit and disguise themselves in an all-girl band to escape."
m023,Airplane!,1980,88,Comedy,7.7,250000,"A traumatized ex-pilot must land a passenger jet after the crew is incapacitated."
m024,This Is Spinal Tap,1984,82,Comedy|Music,7.9,150000,"A documentary follows the disastrous American tour of a fading British heavy metal band."
m025,Pulp Fiction,1994,154,Crime|Drama,8.9,2200000,"Hitmen, a boxer, and a gangster's wife cross paths in interlocking Los Angeles vignettes."
m026,Goodfellas,1990,146,Biography|Crime|Drama,8.7,1300000,"A young man's rise and fall through the New York mob over three decades."
m027,The Godfather,1972,175,Crime|Drama,9.2,2100000,"The aging patriarch of a crime dynasty transfers control to his reluctant youngest son."
m028,No Country for Old Men,2007,122,Crime|Drama|Thriller,8.2,1100000,"A welder finds drug-money in the desert and is hunted by a relentless killer."
m029,Blade Runner,1982,117,Action|Drama|Sci-Fi,8.1,840000,"A retired cop is forced to hunt down four replicants who've returned to Earth."
m030,2001: A Space Odyssey,1968,149,Adventure|Sci-Fi,8.3,720000,"Astronauts travel to Jupiter with the sentient computer HAL after the discovery of an alien artifact."
m031,Alien,1979,117,Horror|Sci-Fi,8.5,930000,"The crew of a commercial towing ship is stalked by a deadly creature after answering a distress signal."
m032,Arrival,2016,116,Drama|Sci-Fi,7.9,750000,"A linguist is recruited to communicate with extraterrestrials whose ships have appeared worldwide."
m033,Ex Machina,2014,108,Drama|Sci-Fi|Thriller,7.7,560000,"A programmer is invited to evaluate the consciousness of his reclusive boss's humanoid AI."
m034,Interstellar,2014,169,Adventure|Drama|Sci-Fi,8.7,2000000,"Astronauts travel through a wormhole seeking a new habitable world for humanity."
m035,Children of Men,2006,109,Action|Drama|Sci-Fi,7.9,510000,"In a future where humans can no longer reproduce, a man must escort the only pregnant woman on earth."
m036,The Shining,1980,146,Drama|Horror,8.4,1100000,"A writer hired as a winter caretaker at an isolated hotel descends into violent madness."
m037,Get Out,2017,104,Horror|Mystery|Thriller,7.7,640000,"A young Black man visits his white girlfriend's family estate and uncovers a disturbing secret."
m038,Hereditary,2018,127,Drama|Horror|Mystery,7.3,360000,"After their reclusive grandmother dies, a family begins to unravel a sinister inheritance."
m039,The Thing,1982,109,Horror|Mystery|Sci-Fi,8.2,440000,"Antarctic researchers are infiltrated by an alien organism that perfectly imitates whatever it kills."
m040,Rosemary's Baby,1968,137,Drama|Horror,8.0,220000,"A pregnant woman in a Manhattan apartment grows convinced her neighbors have sinister plans for her child."
m041,Eternal Sunshine of the Spotless Mind,2004,108,Drama|Romance|Sci-Fi,8.3,1100000,"A couple undergoes a procedure to erase each other from their memories after a painful breakup."
m042,Before Sunrise,1995,101,Drama|Romance,8.1,310000,"A young American and a French woman meet on a train and spend a single night walking through Vienna."
m043,When Harry Met Sally,1989,95,Comedy|Drama|Romance,7.7,250000,"Two friends debate whether men and women can be platonic over twelve years of near-misses."
m044,Spirited Away,2001,125,Animation|Adventure|Family,8.6,820000,"A girl trapped in a spirit world must work in a witch's bathhouse to free her parents."
m045,Toy Story,1995,81,Animation|Adventure|Comedy,8.3,1100000,"A cowboy doll must accept a flashy spaceman toy as his rival for a child's affection."
m046,The Incredibles,2004,115,Animation|Action|Adventure,8.0,810000,"A family of undercover superheroes returns to action when a fan turned villain threatens the world."
m047,Whiplash,2014,106,Drama|Music,8.5,950000,"A young drummer enrolls at a cutthroat music conservatory under a brutal instructor."
m048,Parasite,2019,132,Drama|Thriller,8.6,950000,"A poor family schemes its way into employment with a wealthy household with unforeseen consequences."
m049,La La Land,2016,128,Comedy|Drama|Music,8.0,640000,"A jazz pianist and an aspiring actress fall in love while pursuing their dreams in Los Angeles."
m050,Moonlight,2016,111,Drama,7.4,360000,"Three chapters in the life of a young Black man growing up in a rough Miami neighborhood."
m051,Whisper of the Heart,1995,111,Animation|Drama|Family,7.9,40000,"A bookish Tokyo teenager investigates the boy whose name keeps appearing in her library books."
m052,Drive,2011,100,Crime|Drama,7.8,720000,"A Hollywood stunt driver moonlights as a getaway driver and protects his neighbor from gangsters."
m053,Sicario,2015,121,Action|Crime|Drama,7.6,470000,"An FBI agent is enlisted by a shadowy task force to take down a Mexican cartel boss."
m054,Whiskey Tango Foxtrot,2016,112,Comedy|Drama|War,6.5,40000,"A copywriter takes a war-zone reporting job in Afghanistan and is transformed by the experience."
m055,Coco,2017,105,Animation|Adventure|Comedy,8.4,490000,"A boy who dreams of being a musician travels to the Land of the Dead to meet his ancestor."
m056,Knives Out,2019,130,Comedy|Crime|Drama,7.9,650000,"A detective investigates the patriarch of a wealthy family found dead after his birthday party."
m057,The Social Network,2010,120,Biography|Drama,7.8,790000,"A Harvard student builds a social network and is sued by friends and partners as it explodes."
m058,Spotlight,2015,129,Biography|Crime|Drama,8.1,470000,"Boston Globe reporters investigate decades of cover-ups in the Catholic Church."
m059,Rear Window,1954,112,Mystery|Thriller,8.5,520000,"A wheelchair-bound photographer suspects his neighbor of murder while spying through a telephoto lens."
m060,Vertigo,1958,128,Mystery|Romance|Thriller,8.3,420000,"A retired detective with acrophobia is hired to follow a friend's wife and falls obsessively in love."
